dyad_season_year,dyad_ID,PackID,species,SA,season,season2,den,rend,winter,Cohesion,BreedPair,PackSize,Human,PCV,Long,Lat
SC27M_SC31F_den_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,den,nw,1,0,0,0.34375,1,2,0.335459784,2.463886306,-81.71506582,33.76229633
SC27M_SC31F_rend_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,rend,nw,0,1,0,0.300653595,1,2,0.330578529,2.384709674,-81.71735581,33.75879722
SC27M_SC31F_winter_2015_2016,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,winter,winter,0,0,1,0.697761194,1,2,0.347434197,2.363450287,-81.7181392,33.76152029
SC27M_SC31F_winter_2016_2017,SC27M_SC31F,Mt. Calvary,coyote,SouthCarolina_Johnston,winter,winter,0,0,1,0.5,1,2,0.326210411,2.678759615,-81.7196271,33.76252491
AL11M_AL19F_den_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,den,nw,1,0,0,0.273273273,0,2,0.117086788,2.32400209,-85.38672747,32.01042487
AL11M_AL19F_rend_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,rend,nw,0,1,0,0.451038576,0,2,0.111500262,2.104823898,-85.38582351,32.00884416
AL11M_AL19F_winter_2014_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.597796143,0,2,0.113579105,2.134083031,-85.38539778,32.00981387
AL11M_AL19F_winter_2015_2016,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.628571429,1,2,0.106822733,2.222379076,-85.39064675,32.00324937
AL16F_AL20M_den_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,den,nw,1,0,0,0.860946746,1,2,0.161516916,2.508401853,-85.70163771,32.3020893
AL16F_AL20M_rend_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,rend,nw,0,1,0,0.838278932,1,2,0.162827253,2.233257368,-85.70316923,32.30190629
AL16F_AL20M_winter_2014_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.715068493,1,2,0.177033056,2.2247213,-85.70113484,32.30165235
AL16F_AL20M_winter_2015_2016,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.879093199,1,2,0.171349691,2.370244076,-85.7021251,32.30375983
c46F_c47M_winter_2012_2013,c46F_c47M,DenaliCoy1,coyote,Alaska_Denali,winter,winter,0,0,1,0.333333333,1,2,1.67E-05,1.789607321,-149.5117624,63.76243657
c49F_c48M_den_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,den,nw,1,0,0,0.1875,1,2,0.044021341,1.981887484,-149.0745513,63.80426435
c49F_c48M_rend_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,rend,nw,0,1,0,0.163265306,1,2,0.060065133,2.259024802,-149.0871883,63.81651763
c49F_c48M_winter_2012_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,winter,winter,0,0,1,0.431818182,1,2,0.055176945,1.78288313,-149.0700167,63.80871536
20443F_20496M_den_2009,20443F_20496M,Travis,coyote,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.288107203,1,3,0.521327572,2.338327652,-76.3187744,35.89462407
20443F_20496M_rend_2009,20443F_20496M,Travis,coyote,NorthCarolina_AlligatorNWR,rend,nw,0,1,0,0.321178121,1,3,0.50039155,2.772773234,-76.31228579,35.89706598
20443F_20496M_winter_2008_2009,20443F_20496M,Travis,coyote,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.307931571,1,3,0.518320473,2.384740629,-76.32234391,35.89502999
20443F_20496M_winter_2009_2010,20443F_20496M,Travis,coyote,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.506645817,1,3,0.501322983,2.876148189,-76.31140198,35.89439717
AL14M_AL26M_den_2015,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,den,nw,1,0,0,0.099678457,0,3,0.114325229,2.311938276,-85.4102137,32.02964661
AL14M_AL26M_rend_2015,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,rend,nw,0,1,0,0.094814815,0,3,0.106881469,2.104291019,-85.41485007,32.02716508
AL14M_AL26M_winter_2014_2015,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.057377049,0,3,0.110694225,2.483213975,-85.41228689,32.02765417
AL14M_AL26M_winter_2015_2016,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.108291032,0,3,0.109916501,2.252464007,-85.41326515,32.02139236
AL46F_AL47M_winter_2015_2016,AL46F_AL47M,Parker Hill,coyote,Alabama_Troy,winter,winter,0,0,1,0.723897912,1,3,0.353869905,2.275626301,-85.92154214,31.73500404
SC53M_SC54M_den_2016,SC53M_SC54M,Saluda,coyote,SouthCarolina_Johnston,den,nw,1,0,0,0.334615385,0,4,0.394919151,2.463886306,-81.71894049,33.86759492
SC53M_SC54M_rend_2016,SC53M_SC54M,Saluda,coyote,SouthCarolina_Johnston,rend,nw,0,1,0,0.207772795,0,4,0.40121205,2.335546899,-81.71915829,33.86553452
SC53M_SC54M_winter_2015_2016,SC53M_SC54M,Saluda,coyote,SouthCarolina_Johnston,winter,winter,0,0,1,0.396917148,0,4,0.402339627,2.401518505,-81.71290409,33.86319319
SC53M_SC54M_winter_2016_2017,SC53M_SC54M,Saluda,coyote,SouthCarolina_Johnston,winter,winter,0,0,1,0.307432432,0,4,0.41370264,2.736833653,-81.71891478,33.85938815
pmC028_pmC029_winter_2012_2013,pmC028_pmC029,MahoneyP2,coyote,Utah,winter,winter,0,0,1,0.278688525,0,4,0.084832475,2.05431945,-112.0589595,38.49615342
pmC028_pmC029_winter_2013_2014,pmC028_pmC029,MahoneyP2,coyote,Utah,winter,winter,0,0,1,0.571808511,0,4,0.085608607,2.000897891,-112.0570505,38.4726637
BW1731_BW1734_winter_2017_2018,BW1731_BW1734,Petroglyph,coyote,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.193732194,0,5,0.116053192,1.776744623,-78.07062043,44.64042397
BW1731_BW1736_winter_2017_2018,BW1731_BW1736,Petroglyph,coyote,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.157088123,0,5,0.12127642,1.762788123,-78.07763505,44.63759928
BW1734_BW1736_winter_2017_2018,BW1734_BW1736,Petroglyph,coyote,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.140282132,0,5,0.113483179,1.76627986,-78.06096874,44.63565924
SC08M_SC11M_den_2015,SC08M_SC11M,Gaston,coyote,SouthCarolina_McCormick,den,nw,1,0,0,0.051446945,0,5,0.233153909,2.471472019,-82.15239086,33.92834888
SC08M_SC11M_rend_2015,SC08M_SC11M,Gaston,coyote,SouthCarolina_McCormick,rend,nw,0,1,0,0.132420091,0,5,0.223032477,2.56638257,-82.15775783,33.92677736
SC08M_SC11M_winter_2014_2015,SC08M_SC11M,Gaston,coyote,SouthCarolina_McCormick,winter,winter,0,0,1,0.07518797,0,5,0.234507386,2.667144967,-82.15528387,33.92897465
SC10F_SC13M_den_2015,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,den,nw,1,0,0,0.528358209,0,5,0.068366089,2.477607048,-82.16525686,33.96528202
SC10F_SC13M_den_2016,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,den,nw,1,0,0,0.301886792,0,5,0.061671479,2.52996008,-82.16815873,33.96412108
SC10F_SC13M_rend_2015,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,rend,nw,0,1,0,0.516272189,0,5,0.069724865,2.577682272,-82.16544649,33.96493664
SC10F_SC13M_rend_2016,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,rend,nw,0,1,0,0.360119048,0,5,0.066439873,2.471736648,-82.16699706,33.96235034
SC10F_SC13M_winter_2014_2015,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,winter,winter,0,0,1,0.419230769,0,5,0.06564281,2.650512206,-82.16547267,33.97023539
SC10F_SC13M_winter_2015_2016,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,winter,winter,0,0,1,0.598792062,0,5,0.06314993,2.481737028,-82.16469395,33.96268312
SC15F_SC21F_rend_2015,SC15F_SC21F,Zion Chapel,coyote,SouthCarolina_McCormick,rend,nw,0,1,0,0.06505295,0,5,0.302841793,2.56638257,-82.20875978,33.92853287
GA04M_GA13F_winter_2014_2015,GA04M_GA13F,Burks Mountain,coyote,Georgia_N_Augusta,winter,winter,0,0,1,0.288503254,0,5,0.363598273,2.756625053,-82.20646996,33.61286639
GA04M_GA14M_den_2015,GA04M_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,den,nw,1,0,0,0.058252427,0,5,0.361884678,2.498669659,-82.22367945,33.60360826
GA04M_GA14M_winter_2014_2015,GA04M_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,winter,winter,0,0,1,0.323076923,0,5,0.363960597,2.755682578,-82.20737646,33.61271321
GA13F_GA14M_den_2015,GA13F_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,den,nw,1,0,0,0.266903915,1,5,0.362270377,2.509026566,-82.20404323,33.61333529
GA13F_GA14M_rend_2015,GA13F_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,rend,nw,0,1,0,0.22,1,5,0.360909018,2.631473537,-82.20452485,33.61257483
GA13F_GA14M_winter_2014_2015,GA13F_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,winter,winter,0,0,1,0.474437628,1,5,0.359566621,2.736335941,-82.20632013,33.61345232
GA03F_GA21M_den_2015,GA03F_GA21M,Soap Creek,coyote,Georgia_Lincolnton,den,nw,1,0,0,0.11409396,0,5,0.328658557,2.537374688,-82.43443198,33.82136457
GA03F_GA21M_rend_2015,GA03F_GA21M,Soap Creek,coyote,Georgia_Lincolnton,rend,nw,0,1,0,0.068259386,0,5,0.342684841,2.663233818,-82.43800772,33.81647136
GA03F_GA21M_winter_2014_2015,GA03F_GA21M,Soap Creek,coyote,Georgia_Lincolnton,winter,winter,0,0,1,0.076335878,0,5,0.339316602,2.62907816,-82.43791578,33.8175542
c164_c516_den_2013,c164_c516,PC NE,coyote,Illinois_W_Chicago,den,nw,1,0,0,0.086044071,1,5,0.597254398,2.314834326,-88.17392742,42.05712456
c164_c516_rend_2013,c164_c516,PC NE,coyote,Illinois_W_Chicago,rend,nw,0,1,0,0.33975098,1,5,0.599973925,2.214194299,-88.17139685,42.05740535
GA32F_GA35M_rend_2016,GA32F_GA35M,Kitchens,coyote,Georgia_W_Augusta,rend,nw,0,1,0,0.632986627,1,6,0.185346314,3.520765089,-82.49216292,33.29911822
GA32F_GA35M_winter_2016_2017,GA32F_GA35M,Kitchens,coyote,Georgia_W_Augusta,winter,winter,0,0,1,0.522648084,1,6,0.211033716,2.709890242,-82.48379086,33.29772429
AL07M_AL10F_den_2015,AL07M_AL10F,West Pine Grove,coyote,Alabama_E_Montgomery,den,nw,1,0,0,0.204081633,0,6,0.083179811,2.507081527,-85.72341272,32.30830136
AL07M_AL10F_winter_2014_2015,AL07M_AL10F,West Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.370030581,0,6,0.083224994,2.548959395,-85.72260162,32.30963617
AL07M_AL15F_den_2015,AL07M_AL15F,West Pine Grove,coyote,Alabama_E_Montgomery,den,nw,1,0,0,0.224550898,0,6,0.082714501,2.505216332,-85.72293893,32.30870141
AL07M_AL15F_rend_2015,AL07M_AL15F,West Pine Grove,coyote,Alabama_E_Montgomery,rend,nw,0,1,0,0.299180328,0,6,0.082436748,2.346615982,-85.72444911,32.3083916
AL07M_AL15F_winter_2014_2015,AL07M_AL15F,West Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.415204678,0,6,0.083270277,2.521924773,-85.72235199,32.30880631
AL10F_AL15F_winter_2014_2015,AL10F_AL15F,West Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.337278107,0,6,0.083351287,2.521924773,-85.72323048,32.30906576
c446_c448_den_2011,c446_c448,PC NE,coyote,Illinois_W_Chicago,den,nw,1,0,0,0.154611915,0,7,0.639024661,1.952103704,-88.16594049,42.06030145
c446_c448_rend_2011,c446_c448,PC NE,coyote,Illinois_W_Chicago,rend,nw,0,1,0,0.134157692,0,7,0.662037673,1.874911482,-88.16111132,42.06096901
AL27F_AL28M_winter_2015_2016,AL27F_AL28M,Joyes,coyote,Alabama_Troy,winter,winter,0,0,1,0.194029851,0,8,0.246447155,2.329195583,-86.05981257,31.75762997
AL27F_AL32M_winter_2015_2016,AL27F_AL32M,Joyes,coyote,Alabama_Troy,winter,winter,0,0,1,0.062992126,0,8,0.262983891,2.32358207,-86.05427261,31.75750086
AL38M_AL39M_den_2016,AL38M_AL39M,Childs,coyote,Alabama_Troy,den,nw,1,0,0,0.06779661,0,10,0.329217458,2.305089731,-85.98122316,31.90225672
AL38M_AL39M_rend_2016,AL38M_AL39M,Childs,coyote,Alabama_Troy,rend,nw,0,1,0,0.067365269,0,10,0.325958288,2.410121404,-85.98185523,31.90471256
AL38M_AL39M_winter_2015_2016,AL38M_AL39M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.123258307,0,10,0.33652789,2.224460208,-85.98407713,31.90088967
AL38M_AL40M_winter_2015_2016,AL38M_AL40M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.063186813,0,10,0.35348132,2.324578167,-85.98561847,31.89074908
AL38M_AL48M_rend_2016,AL38M_AL48M,Childs,coyote,Alabama_Troy,rend,nw,0,1,0,0.055737705,0,10,0.33160213,2.410817511,-85.98358942,31.90467251
AL38M_AL48M_winter_2015_2016,AL38M_AL48M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.16395112,0,10,0.335980947,2.229981592,-85.98369672,31.90033403
AL38M_AL53M_winter_2015_2016,AL38M_AL53M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.233196159,0,10,0.33321709,2.270867128,-85.9826033,31.90089619
AL39M_AL48M_den_2016,AL39M_AL48M,Childs,coyote,Alabama_Troy,den,nw,1,0,0,0.123595506,0,10,0.331539588,2.323806139,-85.98325465,31.909657
AL39M_AL48M_rend_2016,AL39M_AL48M,Childs,coyote,Alabama_Troy,rend,nw,0,1,0,0.076175041,0,10,0.321044432,2.425818229,-85.98026967,31.90369703
AL39M_AL48M_winter_2015_2016,AL39M_AL48M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.194499018,0,10,0.335006687,2.23276333,-85.9832867,31.89996179
AL39M_AL53M_winter_2015_2016,AL39M_AL53M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.152380952,0,10,0.330794401,2.26903184,-85.98215957,31.90029281
AL39M_AL54F_winter_2015_2016,AL39M_AL54F,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.075075075,0,10,0.341869293,2.319498061,-85.98657421,31.90695467
AL48M_AL53M_winter_2015_2016,AL48M_AL53M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.120822622,0,10,0.332245853,2.270341708,-85.98250814,31.9004736
AL48M_AL54F_winter_2015_2016,AL48M_AL54F,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.06360424,0,10,0.34257308,2.228321959,-85.98625519,31.90478838
