dyad_season_year,dyad_ID,PackID,Species1,Species2,GW,EW,RW,Mixed,SA,season1,season2,den,rend,winter,Cohesion,BreedPair,FF,MM,FM,Same,Exploit,LargePred,Prey,Beaver,Human,PCV,Long,Lat
BQE1411_BQE1415_winter_2014_2015,BQE1411_BQE1415,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.706408346,0,0,1,0,1,0,1,0,1,0.049316833,1.5975186,-78.93186403,44.99754314
BQE1411_BQE1415_rend_2014,BQE1411_BQE1415,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.283464567,0,0,1,0,1,0,1,0,1,0.043179368,1.608354463,-78.92043778,45.00738847
BQE1411_BQE1521_winter_2014_2015,BQE1411_BQE1521,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.732368897,1,0,0,1,0,0,1,0,1,0.048247772,1.679320749,-78.94324349,44.99495889
BW1623_BW1708_winter_2016_2017,BW1623_BW1708,White Partridge,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.733624454,1,0,0,1,0,0,1,1,1,0.007287955,1.959011773,-78.09351892,45.84682911
BQE1411_BQE1521_rend_2015,BQE1411_BQE1521,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.270833333,1,0,0,1,0,0,1,0,1,0.05586123,1.684232648,-78.9582589,44.99800795
BQE1411_BQE1521_den_2015,BQE1411_BQE1521,Pauper,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.288834951,1,0,0,1,0,0,1,0,1,0.051236372,1.70580602,-78.95299127,44.99437817
BW1623_BW1708_rend_2017,BW1623_BW1708,White Partridge,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.323129252,1,0,0,1,0,0,1,1,1,0.007278458,1.726708735,-78.0631593,45.83920287
BW1623_BW1708_den_2017,BW1623_BW1708,White Partridge,Admixed,wolf,0,0,0,1,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.471014493,1,0,0,1,0,0,1,1,1,0.008081462,1.858776258,-78.08593151,45.82786844
JSW237_JSW241_den_2009,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,den,nw,1,0,0,0.272727273,0,0,0,1,0,1,1,1,1,1.60E-05,1.977734218,-141.7598531,65.02339269
JSW237_JSW241_den_2010,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,den,nw,1,0,0,0.5,0,0,0,1,0,1,1,1,1,2.86E-05,2.250665478,-141.8947391,65.01092868
JSW237_JSW241_den_2011,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,den,nw,1,0,0,0.638888889,0,0,0,1,0,1,1,1,1,1.24E-05,2.111366933,-141.9237521,65.04585293
JSW237_JSW241_rend_2009,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,rend,nw,0,1,0,0.397260274,0,0,0,1,0,1,1,1,1,1.26E-05,2.256737403,-141.8435739,65.04419427
JSW237_JSW241_rend_2010,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,rend,nw,0,1,0,0.536842105,0,0,0,1,0,1,1,1,1,2.36E-05,1.90634006,-141.9291454,64.98945604
JSW237_JSW241_rend_2011,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,rend,nw,0,1,0,0.591836735,0,0,0,1,0,1,1,1,1,3.17E-05,1.995856717,-141.9331412,65.00663928
JSW237_JSW241_winter_2008_2009,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.353846154,0,0,0,1,0,1,1,1,1,1.44E-05,1.894501042,-141.8348319,65.05983121
JSW237_JSW241_winter_2009_2010,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.315789474,0,0,0,1,0,1,1,1,1,1.35E-05,2.35137992,-141.8477978,65.05383144
JSW237_JSW241_winter_2010_2011,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.92972973,0,0,0,1,0,1,1,1,1,1.23E-05,1.933458959,-141.8207341,65.07617626
JSW237_JSW241_winter_2011_2012,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.877192982,0,0,0,1,0,1,1,1,1,1.16E-05,1.979828907,-141.7443744,65.07021875
BW811_BW1103_winter_2011_2012,BW811_BW1103,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.816872428,0,0,0,1,0,0,1,1,1,0.001996633,1.675174066,-149.7193271,63.57993508
BW811_BW1103_winter_2010_2011,BW811_BW1103,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.688432836,0,0,0,1,0,0,1,1,1,0.001454692,1.744572846,-149.6507872,63.61048343
BW1705_BW1706_winter_2017_2018,BW1705_BW1706,Comb,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.87804878,0,0,0,1,0,0,1,1,1,0.001252397,1.751803445,-149.5842929,64.01148936
BW1702_BW1706_winter_2017_2018,BW1702_BW1706,Comb,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.881578947,0,0,0,1,0,0,1,1,1,0.001445662,1.782477098,-149.551453,64.01102744
BW1501_BW1602_winter_2015_2016,BW1501_BW1602,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.833333333,0,0,0,1,0,0,1,1,1,0.00189729,1.801379879,-149.7001765,63.53010729
BW1202_BW1601_winter_2015_2016,BW1202_BW1601,Riley Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.761904762,0,0,0,1,0,0,1,1,1,0.006256655,1.920794616,-149.3063935,63.70022992
BW1501_BW1602_winter_2016_2017,BW1501_BW1602,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.842880524,0,0,0,1,0,0,1,1,1,0.003752064,1.92663479,-149.2670738,63.47692102
BW1504_BW1603_winter_2015_2016,BW1504_BW1603,Myrtle,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.838235294,0,0,0,1,0,0,1,1,1,0.000560408,1.928411338,-150.720095,63.55992792
Mich03_Mich10_winter_2017_2018,Mich03_Mich10,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.909090909,0,0,0,1,0,0,0,0,1,0.008077744,1.861984387,-85.79328436,47.73380785
Mich02_Mich08_winter_2017_2018,Mich02_Mich08,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.553105363,0,0,0,1,0,0,0,0,1,0.007800338,1.925042174,-85.77588339,47.73968309
Mich02_Mich07_winter_2017_2018,Mich02_Mich07,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.583333333,0,0,0,1,0,0,0,0,1,0.009988575,1.936468921,-85.80614933,47.73401186
Mich05_Mich11_winter_2017_2018,Mich05_Mich11,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.259259259,0,0,0,1,0,0,0,0,1,0.009887159,1.938338435,-85.81759897,47.73288769
Mich03_Mich12_winter_2017_2018,Mich03_Mich12,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.328467153,0,0,0,1,0,0,0,0,1,0.008038139,1.939703737,-85.77894272,47.73577012
Mich03_Mich11_winter_2017_2018,Mich03_Mich11,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.378787879,0,0,0,1,0,0,0,0,1,0.008018632,1.944777101,-85.78769329,47.73652561
Mich03_Mich04_winter_2015_2016,Mich03_Mich04,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.569866557,0,0,0,1,0,0,0,0,1,0.008033214,1.958568364,-85.77781299,47.73318969
Mich01_Mich03_winter_2015_2016,Mich01_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.859437513,0,0,0,1,0,0,0,0,1,0.007317807,1.962069139,-85.78413225,47.73690867
Mich01_Mich03_winter_2014_2015,Mich01_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.828571429,0,0,0,1,0,0,0,0,1,0.001871819,2.006310103,-85.79285626,47.74616664
Mich02_Mich05_winter_2016_2017,Mich02_Mich05,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.246753247,0,0,0,1,0,0,0,0,1,0.005398971,2.045085641,-85.78834188,47.74264536
Mich01_Mich03_winter_2016_2017,Mich01_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.869738085,0,0,0,1,0,0,0,0,1,0.007494403,2.115811095,-85.79227759,47.74193781
Mich03_Mich11_winter_2018_2019,Mich03_Mich11,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.175182482,0,0,0,1,0,0,0,1,1,0.008092749,2.722765515,-85.78371895,47.73293412
M1410_M1407_winter_2014_2015,M1410_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.472440945,0,0,0,1,0,0,0,1,1,0.103546734,1.488876656,11.3085014,61.37294074
M1409_M1408_winter_2013_2014,M1409_M1408,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.435294118,0,0,0,1,0,0,0,1,1,0.095656091,1.501035095,11.27161058,61.3949306
M1410_M1407_winter_2013_2014,M1410_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.269437729,0,0,0,1,0,0,0,1,1,0.106298473,1.5297486,11.30734104,61.37121199
M1110_M1108_winter_2011_2012,M1110_M1108,Rotna,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.361111111,0,0,0,1,0,0,0,1,1,0.118580396,1.59566664,12.47067606,60.51608629
M0109_M0302_winter_2002_2003,M0109_M0302,Grafjell,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.339853301,0,0,0,1,0,0,0,1,1,0.102546284,1.909359918,11.37157369,61.3675712
M1109_M1111_winter_2010_2011,M1109_M1111,Rotna,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.25,0,0,0,1,0,0,0,1,1,0.120960704,1.946714785,12.46737243,60.51560609
rw11421M_rw11660F_winter_2008_2009,rw11421M_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.108695652,0,0,0,1,0,1,1,0,1,0.284591088,2.212723617,-75.85973491,35.84543471
rw11357F_rw11661M_winter_2008_2009,rw11357F_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.091900171,0,0,0,1,0,1,1,0,1,0.234829664,2.268814211,-75.85065847,35.84234746
BAP1405_BAP1406_winter_2014_2015,BAP1405_BAP1406,Brule,EW,wolf,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.485006519,0,0,0,1,0,0,1,1,1,0.008813181,1.659359121,-78.8618847,45.63840417
BW1619_BW1709_winter_2017_2018,BW1619_BW1709,Cameron,GW,wolf,1,0,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.706521739,0,0,0,1,0,0,1,1,1,0.012295685,1.666949901,-78.23108438,45.62088308
BW1709_BW1807_winter_2017_2018,BW1709_BW1807,Cameron,GW,wolf,1,0,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.280732498,0,0,0,1,0,0,1,1,1,0.011323534,1.744439399,-78.2386994,45.63719714
BW1637_BW1640_winter_2016_2017,BW1637_BW1640,Loontail,EW,wolf,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.297752809,0,0,0,1,0,0,1,1,1,0.006071339,1.881988117,-78.8810444,45.81896569
wAF270_wAM310_winter_2012_2013,wAF270_wAM310,Honker,GW,wolf,1,0,0,0,Alaska_PrinceOfWalesIsland,winter,winter,0,0,1,0.285596163,0,0,0,1,0,1,1,0,1,0.002192655,1.205466139,-132.9368806,55.83978626
w201401_w201501_winter_2015_2016,w201401_w201501,Sandy Beach,GW,wolf,1,0,0,0,Alaska_PrinceOfWalesIsland,winter,winter,0,0,1,0.98467433,0,0,0,1,0,1,1,0,1,0.017807847,1.403214808,-132.5142572,55.74718309
V027_V028_winter_2014_2015,V027_V028,Moose River,GW,wolf,1,0,0,0,Minnesota_Voyageurs,winter,winter,0,0,1,0.771879484,0,0,0,1,0,0,1,0,1,0.012483111,2.373266811,-92.69978076,48.40228739
hmw1_hmw2_winter_2009_2010,hmw1_hmw2,Hodzana_Mouth,GW,wolf,1,0,0,0,Alaska_YukonFlatsNWR,winter,winter,0,0,1,0.845522078,0,0,0,1,0,0,1,1,1,4.63E-05,2.219577166,-148.0199349,66.63008003
W214_W224_winter_2008_2009,W214_W224,Potter,EW,wolf,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.523662002,0,0,0,1,0,0,1,1,1,0.008764363,1.539460317,-78.80717716,45.59699684
W1296_W1439_winter_2015_2016,W1296_W1439,Mangas,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.906779661,0,0,0,1,0,0,1,1,0,0.035781971,1.950744917,-108.8775783,33.95777558
W1249_W1437_winter_2015_2016,W1249_W1437,Diamond,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.97674043,0,0,0,1,0,0,1,1,0,0.059779806,2.211593956,-109.6107619,34.12007304
W1333_W1789_winter_2018_2019,W1333_W1789,Hoodoo,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.56,0,0,0,1,0,0,1,1,0,0.049896765,2.27810331,-109.2866471,33.91715142
W1557_W1571_winter_2016_2017,W1557_W1571,Diamond,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.633333333,0,0,0,1,0,0,1,1,0,0.038358875,2.346901901,-109.5316955,34.14726066
W1394_W1825_winter_2018_2019,W1394_W1825,Pine Spring,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.626086957,0,0,0,1,0,0,1,1,0,0.035439692,2.375869447,-109.611508,34.17741204
W1441_W1792_winter_2018_2019,W1441_W1792,Saffel,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.551401869,0,0,0,1,0,0,1,1,0,0.04387002,2.410235222,-109.3953803,34.0048911
W1346_W1561_winter_2017_2018,W1346_W1561,Leopold,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.820372011,0,0,0,1,0,0,1,1,0,0.00654856,2.416609865,-108.5594707,33.35103126
W1346_W1561_winter_2016_2017,W1346_W1561,Leopold,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.931818182,0,0,0,1,0,0,1,1,0,0.003051102,2.417176137,-108.5135219,33.36180903
W1158_W1684_winter_2017_2018,W1158_W1684,Luna,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.510869565,0,0,0,1,0,0,1,1,0,0.035606225,2.466682942,-108.3728332,33.66247457
W1278_W1555_winter_2017_2018,W1278_W1555,Iron Creek,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.518518519,0,0,0,1,0,0,1,1,0,0.035546781,2.507425475,-108.573701,33.43814658
W1278_W1821_winter_2018_2019,W1278_W1821,Iron Creek,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.6,0,0,0,1,0,0,1,1,0,0.023409027,2.526439788,-108.5568963,33.41421813
W1278_W1710_winter_2018_2019,W1278_W1710,Iron Creek,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.442857143,0,0,0,1,0,0,1,1,0,0.034858521,2.535549415,-108.5849083,33.4380496
W1296_W1664_winter_2017_2018,W1296_W1664,Mangas,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.216666667,0,0,0,1,0,0,1,1,0,0.033311661,2.548084129,-108.8623745,33.99185578
W1278_W1556_winter_2017_2018,W1278_W1556,Iron Creek,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.495867769,0,0,0,1,0,0,1,1,0,0.038895799,2.560427657,-108.5999779,33.45991632
W1251_W1669_winter_2017_2018,W1251_W1669,Prieto,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.624898187,0,0,0,1,0,0,1,1,0,0.036708863,2.585547587,-108.632626,33.58565421
W1251_W1678_winter_2017_2018,W1251_W1678,Prieto,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.709209836,0,0,0,1,0,0,1,1,0,0.035369211,2.586310011,-108.6313897,33.58903104
W1278_W1555_winter_2018_2019,W1278_W1555,Iron Creek,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.6,0,0,0,1,0,0,1,1,0,0.037576044,2.601109561,-108.5958403,33.4431392
W1567_W1680_winter_2017_2018,W1567_W1680,Saffel,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.6,0,0,0,1,0,0,1,1,0,0.04339872,2.634315907,-109.4035394,34.01681416
W1251_W1669_winter_2018_2019,W1251_W1669,Prieto,GW,wolf,1,0,0,0,Arizona_NewMexico,winter,winter,0,0,1,0.537168225,0,0,0,1,0,0,1,1,0,0.036253716,2.644434504,-108.6104622,33.57530189
JSW1701_JSW1308_winter_2017_2018,JSW1701_JSW1308,Sorenson,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.511848341,0,0,0,1,0,1,1,0,1,4.57E-05,1.677743235,-142.3182335,64.89790985
JSW1704_JSW1308_winter_2017_2018,JSW1704_JSW1308,Sorenson,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.323651452,0,0,0,1,0,1,1,0,1,3.86E-05,1.694659203,-142.4123203,64.91679486
JSW1701_JSW1308_winter_2016_2017,JSW1701_JSW1308,Sorenson,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.491525424,0,0,0,1,0,1,1,0,1,1.51E-05,1.738861142,-142.5771933,64.97479002
JSW1802_JSW1806_winter_2017_2018,JSW1802_JSW1806,Essie Creek,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.495495495,0,0,0,1,0,1,1,0,1,2.20E-06,1.739471788,-143.4109633,64.87379579
JSW1704_JSW1308_winter_2016_2017,JSW1704_JSW1308,Sorenson,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.641509434,0,0,0,1,0,1,1,0,1,1.92E-05,1.764060437,-142.5612503,64.99270037
M0904_M0909_winter_2008_2009,M0904_M0909,Fulufjellet,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.266666667,0,0,0,1,0,0,1,1,1,0.097571219,1.539331026,13.08311429,61.46108378
M0904_M0908_winter_2008_2009,M0904_M0908,Fulufjellet,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.323234448,0,0,0,1,0,0,1,1,1,0.080444844,1.560180189,13.11004033,61.42706141
M0904_M0907_winter_2008_2009,M0904_M0907,Fulufjellet,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.616832133,0,0,0,1,0,0,1,1,1,0.080196969,1.561729881,13.10471337,61.41663491
M0903_M0902_winter_2008_2009,M0903_M0902,Galven,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.188392678,0,0,0,1,0,0,1,1,1,0.132190214,1.694840323,15.88998969,61.50664583
LBw3_LBw4_winter_2010_2011,LBw3_LBw4,LBL_pack2,GW,wolf,1,0,0,0,Spain_E_Oviedo,winter,winter,0,0,1,0.318475452,0,0,0,1,0,NA,0,1,0,0.127787791,1.771892784,-4.965823362,43.27256346
W448f_W449m_winter_2017_2018,W448f_W449m,Eureka,GW,wolf,1,0,0,0,Ellesmere,winter,winter,0,0,1,0.760635281,0,0,0,1,0,0,1,1,0,0.000165173,2.773571697,-85.33735343,79.77764516
Mich01_Mich03_rend_2015,Mich01_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.622222222,0,0,0,1,0,0,0,0,1,0.000744519,1.961455346,-85.80592982,47.74773009
Mich03_Mich04_den_2016,Mich03_Mich04,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,den,nw,1,0,0,0.265644216,0,0,0,1,0,0,0,0,1,0.000812417,2.009156271,-85.78978021,47.74613593
Mich01_Mich03_den_2016,Mich01_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,den,nw,1,0,0,0.599156118,0,0,0,1,0,0,0,0,1,0.000465078,2.017814923,-85.79312023,47.74959777
Mich01_Mich03_rend_2016,Mich01_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.621635802,0,0,0,1,0,0,0,0,1,0.003840968,2.122674516,-85.80362344,47.74230899
Mich03_Mich04_rend_2016,Mich03_Mich04,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.344017094,0,0,0,1,0,0,0,0,1,0.003021139,2.180149381,-85.79462432,47.73938107
M1410_M1407_rend_2014,M1410_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,rend,nw,0,1,0,0.346559483,0,0,0,1,0,0,0,1,1,0.091147556,1.49967961,11.2873815,61.38177139
M1410_M1407_den_2014,M1410_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,den,nw,1,0,0,0.204081633,0,0,0,1,0,0,0,1,1,0.087579628,1.531883931,11.32494902,61.36901889
M1110_M1108_rend_2011,M1110_M1108,Rotna,GW,wolf,1,0,0,0,Norway_Sweden,rend,nw,0,1,0,0.326160077,0,0,0,1,0,0,0,1,1,0.124364033,1.632616645,12.45617728,60.52473153
M1110_M1108_den_2011,M1110_M1108,Rotna,GW,wolf,1,0,0,0,Norway_Sweden,den,nw,1,0,0,0.264069264,0,0,0,1,0,0,0,1,1,0.111108494,1.814103619,12.50800394,60.53934964
M1109_M1111_den_2011,M1109_M1111,Rotna,GW,wolf,1,0,0,0,Norway_Sweden,den,nw,1,0,0,0.289473684,0,0,0,1,0,0,0,1,1,0.112905163,1.820435538,12.50054988,60.51760611
rw11421M_rw11660F_den_2009,rw11421M_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.222222222,0,0,0,1,0,1,1,0,1,0.24671983,2.210425643,-75.87561779,35.85180085
BW1619_BW1709_rend_2017,BW1619_BW1709,Cameron,GW,wolf,1,0,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.202247191,0,0,0,1,0,0,1,1,1,0.016602964,1.665393395,-78.2294379,45.61188617
BW1709_BW1807_den_2018,BW1709_BW1807,Cameron,GW,wolf,1,0,0,0,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.374859708,0,0,0,1,0,0,1,1,1,0.015094061,1.719696738,-78.23090668,45.61876082
BQE1404_BQE1529_rend_2015,BQE1404_BQE1529,Bob Caygeon,EW,wolf,0,1,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.347094801,0,0,0,1,0,1,1,0,1,0.041229598,1.795903857,-78.87291562,44.95544436
BW1709_BW1807_rend_2018,BW1709_BW1807,Cameron,GW,wolf,1,0,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.134897361,0,0,0,1,0,0,1,1,1,0.014526418,1.881961048,-78.22823048,45.62737436
wAF270_wAM310_rend_2012,wAF270_wAM310,Honker,GW,wolf,1,0,0,0,Alaska_PrinceOfWalesIsland,rend,nw,0,1,0,0.286000318,0,0,0,1,0,1,1,0,1,0.001746397,1.169515709,-132.8754774,55.80414417
w201401_w201501_rend_2015,w201401_w201501,Sandy Beach,GW,wolf,1,0,0,0,Alaska_PrinceOfWalesIsland,rend,nw,0,1,0,0.92540068,0,0,0,1,0,1,1,0,1,0.015195605,1.319262441,-132.5541412,55.79229774
w201401_w201501_den_2015,w201401_w201501,Sandy Beach,GW,wolf,1,0,0,0,Alaska_PrinceOfWalesIsland,den,nw,1,0,0,0.883475298,0,0,0,1,0,1,1,0,1,0.023494449,1.381330902,-132.5332057,55.75095731
V028_V048_rend_2016,V028_V048,Moose River,GW,wolf,1,0,0,0,Minnesota_Voyageurs,rend,nw,0,1,0,0.06741573,0,0,0,1,0,0,1,0,1,0.018911427,2.109235386,-92.73520232,48.3906828
V027_V028_den_2015,V027_V028,Moose River,GW,wolf,1,0,0,0,Minnesota_Voyageurs,den,nw,1,0,0,0.225308038,0,0,0,1,0,0,1,0,1,0.007657384,2.438781042,-92.69806644,48.40028387
